Horizon started successfully.
[2023-01-09 16:37:14][749] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][750] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][750] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][753] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][753] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][736] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][736] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][738] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][738] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][740] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][740] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][744] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][744] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:13][745] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][745] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:13][748] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][748] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][751] Processing: Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][751] Processed:  Illuminate\Notifications\Events\BroadcastNotificationCreated
[2023-01-09 16:37:14][752] Processing: Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][752] Processed:  Modules\Tasks\Events\TaskStatusUpdated
[2023-01-09 16:37:14][754] Processing: Modules\Tasks\Events\TaskStatusUpdated
